job_id,title,company,city,province,salary_min,salary_max,job_type,remote_status,pub_date,scraped_on,job_description
WGShmdX2ebAEhzxBAAAAAA==,Data Analyst - Capital Market,Viva Tech Solutions,Toronto,Ontario,,,Contractor,On-site,2026-03-24T17:00:00.000Z,2026-03-24T23:05:21.426546,
DHNLvT6x9axEYyBIAAAAAA==,Product Data Analyst — SaaS Analytics to Shape Roadmaps,Docebo,,,,,Full-time,On-site,2026-03-24T00:00:00.000Z,2026-03-24T23:05:21.426546,
IhkeVE_SYwatW7vIAAAAAA==,Investment Data Analyst,Recruit Action inc.,Toronto,Ontario,,,Contractor,On-site,2026-03-24T16:00:00.000Z,2026-03-24T23:05:21.426546,
Lz-QzjmtOhcR3xeiAAAAAA==,Security Data Analyst: Open Source & ML Insights,Akamai,,,,,Full-time,On-site,2026-03-24T00:00:00.000Z,2026-03-24T23:05:21.426546,
oUrCf-bDHv9QiGQmAAAAAA==,Data Analytics Auditor | Hybrid Work & Power BI,Bombardier,,,,,Full-time,On-site,2026-03-24T00:00:00.000Z,2026-03-24T23:05:21.426546,
2yMv4iOFMUZ0uwe_AAAAAA==,Remote Junior Data Analyst: Insights & Dashboards,AGILEFREE,Toronto,Ontario,,,Full-time,On-site,2026-03-22T00:00:00.000Z,2026-03-24T23:05:21.426546,
iF_weg5EpHRijLmPAAAAAA==,Sr. Data Scientist,Randstad Canada,Toronto,Ontario,,,Contractor,On-site,2026-03-24T00:00:00.000Z,2026-03-24T23:05:21.426546,
9WZqbPnapVYZY5UbAAAAAA==,BI & Analytics Specialist — Power BI & Data Pipelines,Nature's Path Foods,,,,,Full-time,On-site,2026-03-24T00:00:00.000Z,2026-03-24T23:05:21.426546,
uUvl3WtxMvyq-wcdAAAAAA==,"Data analyst, collections operations & kpis",National Money Mart Company,Toronto,Ontario,,,Full-time,On-site,2026-03-19T00:00:00.000Z,2026-03-24T23:05:21.426546,
LB5tMpIdWZzCXl81AAAAAA==,Market Data Analyst,Manulife,Toronto,Ontario,,,Full-time,On-site,2026-03-22T00:00:00.000Z,2026-03-24T23:05:21.426546,
